,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,hdmi_port,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,brand_score,ppi,resolution_width,resolution_height,fast_charging,ram,usb_port,Spec_Score,size_category,charging_category
102,103,kenstar,0,0,8499,4.0,32.0,qled,1,16.0,1,0.01694316978468055,4.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
103,104,philips,1,0,45999,4.7,55.0,miniled,1,32.0,1,0.00674362486141003,4.0,1.0,0.0,0.0,8.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0
104,105,vw,0,0,7999,4.35,32.0,led,1,16.0,1,0.01685835729466183,4.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
105,106,coocaa,1,0,32999,4.6,55.0,miniled,1,32.0,1,0.008642686142004303,4.0,1.0,0.0,0.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0
106,107,samsung,1,0,32990,4.1,43.0,qled,1,19.2,1,0.006462564413458624,3.0,0.0,0.0,1.0,10.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0
107,108,innoq,0,0,5095,4.6,24.0,led,0,16.0,1,0.017154072620215895,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0
108,109,vw,0,1,13099,4.75,40.0,qled,1,19.2,1,0.014504924040003054,4.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0
109,110,vw,0,1,14199,4.35,43.0,led,1,19.2,1,0.011335305303190366,4.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0
110,111,vw,0,0,8999,4.7,32.0,led,1,16.0,1,0.016190687854206024,4.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
111,112,vu,1,0,35990,4.2,55.0,qled,1,16.0,1,0.007352042233953877,4.0,1.0,0.0,0.0,7.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0
112,113,xiaomi,0,0,12999,4.6,32.0,led,1,16.0,1,0.012739441495499654,4.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0
113,114,blaupunkt,0,1,13499,4.75,40.0,qled,1,19.2,1,0.015130750425957478,4.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0
114,115,hisense,1,0,69999,4.45,65.0,miniled,1,32.0,1,0.0046407805825797515,4.0,0.0,0.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0
115,116,sony,1,0,45990,4.3,43.0,led,1,19.2,1,0.004955425092411393,4.0,1.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0
116,117,sony,1,0,61990,4.45,55.0,led,1,16.0,1,0.004163574770124214,4.0,1.0,0.0,0.0,10.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0
117,118,tcl,1,0,44999,4.0,55.0,qled,1,32.0,1,0.00551123358296851,3.0,0.0,0.0,1.0,8.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0
118,119,samsung,0,0,16490,4.05,32.0,led,0,16.0,1,0.008350515463917525,2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
119,120,samsung,1,0,43990,4.1,55.0,qled,1,25.6,1,0.005498977040236417,3.0,1.0,0.0,0.0,10.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0
120,121,tcl,0,1,24990,4.55,43.0,qled,1,19.2,1,0.00819327731092437,4.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0
121,122,samsung,1,0,68999,4.25,55.0,miniled,1,19.2,1,0.004065276308352295,4.0,1.0,0.0,0.0,10.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0
122,123,samsung,1,0,28490,4.7,43.0,led,1,19.2,1,0.008743418743418744,3.0,1.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0
123,124,lg,1,0,25990,4.75,43.0,led,1,19.2,1,0.008224317045017315,4.0,0.0,1.0,0.0,10.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0
124,125,toshiba,1,0,21999,4.0,43.0,qled,1,16.0,1,0.010182281012773308,4.0,0.0,0.0,1.0,8.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0
125,126,tcl,1,0,34999,4.55,43.0,qled,1,32.0,1,0.007280208005943026,3.0,0.0,0.0,1.0,8.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0
