,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,hdmi_port,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,usb_port,Spec_Score,size_category,charging_category,brand_score
386,387,tcl,1,0,12.100712129872347,4.0,75.0,miniled,1,44.8,1,0.0018000100000555,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,8.0
387,388,croma,1,0,9.998388557730848,4.3,43.0,qled,1,32.0,1,0.009581628012733,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0
388,389,kodak,1,0,10.645424897265505,4.0,65.0,qled,1,16.0,1,0.0053334603204838,4.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
389,390,panasonic,0,0,9.73979145986534,4.05,32.0,led,1,16.0,1,0.0081100182578479,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,8.0
390,391,tcl,1,0,12.345797413264954,4.75,77.0,miniled,1,44.8,1,0.001542252479739705,4.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,1.0,8.0
391,392,motorola,1,0,10.325481962595504,4.4,50.0,qled,1,32.0,1,0.0077904193580117,4.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
392,393,sansui,1,0,10.518429918794682,4.6,50.0,qled,1,22.4,1,0.0067153284671532,4.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0
393,394,croma,0,0,9.305195902988862,4.0,32.0,qled,1,16.0,1,0.0145533927596871,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0
394,395,blaupunkt,0,1,9.546812608597396,4.05,40.0,led,1,19.2,1,0.0095471105078934,4.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0
395,396,croma,1,0,9.903037451255743,4.25,43.0,led,1,32.0,1,0.0095672836418209,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0
396,397,infinix,0,0,9.305650551780507,4.75,32.0,qled,1,16.0,1,0.014955514695145557,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0
