,index,brand,ultra_hd,full_hd,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category,Price
97,98,26.0,1,0,4.4,55.0,4.0,1,32.0,0.0041910305595978,4.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,11.233092507461846
98,99,26.0,1,0,4.7,55.0,4.0,1,16.0,0.0047278805899495,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,11.121363262031055
99,100,56.0,1,0,4.4,55.0,4.0,1,32.0,0.0054154887593992,3.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,10.858998997563564
100,101,51.0,1,0,4.4,43.0,6.0,1,32.0,0.0102004636574389,4.0,1.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,9.998797732340453
101,102,19.0,1,0,4.45,55.0,6.0,1,19.2,0.0056071121422428,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,10.819778284410283
102,103,23.0,0,0,4.0,32.0,6.0,1,16.0,0.0149555146951455,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.121509158269568
103,104,36.0,1,0,4.7,55.0,4.0,1,32.0,0.00674362486141,4.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,10.736396675471232
104,105,51.0,0,0,4.35,32.0,2.0,1,16.0,0.0149555146951455,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,9.121509158269568
105,106,12.0,1,0,4.6,55.0,4.0,1,32.0,0.0086426861420043,4.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,10.404262840448617
106,107,41.0,1,0,4.1,43.0,6.0,1,19.2,0.0064625644134586,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,10.403990075979044
107,108,22.0,0,0,4.6,32.0,2.0,0,16.0,0.0149555146951455,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,9.121509158269568
108,109,51.0,0,1,4.75,40.0,6.0,1,19.2,0.014504924040003,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,9.480367509189245
109,110,51.0,0,1,4.35,43.0,2.0,1,19.2,0.0113353053031903,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,9.560997243589352
110,111,51.0,0,0,4.7,32.0,2.0,1,16.0,0.0149555146951455,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,9.121509158269568
111,112,50.0,1,0,4.2,55.0,6.0,1,16.0,0.0073520422339538,4.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,10.491024186183038
112,113,56.0,0,0,4.6,32.0,2.0,1,16.0,0.0127394414954996,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,9.472704636443671
113,114,8.0,0,1,4.75,40.0,6.0,1,19.2,0.0149555146951455,4.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,9.51044496442652
114,115,17.0,1,0,4.45,65.0,4.0,1,32.0,0.0046407805825797,4.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,11.156250521031495
115,116,44.0,1,0,4.3,43.0,2.0,1,19.2,0.0049554250924113,4.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,10.736201004154935
116,117,44.0,1,0,4.45,55.0,2.0,1,16.0,0.0041635747701242,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,11.034744492199986
117,118,45.0,1,0,4.0,55.0,6.0,1,32.0,0.0055112335829685,3.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,10.714417768752456
118,119,41.0,0,0,4.05,32.0,2.0,0,16.0,0.0083505154639175,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,9.71057005652877
119,120,41.0,1,0,4.1,55.0,6.0,1,25.6,0.0054989770402364,3.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,10.69174034652358
120,121,45.0,0,1,4.55,43.0,6.0,1,19.2,0.0081932773109243,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,10.126271039034782
121,122,41.0,1,0,4.25,55.0,4.0,1,19.2,0.0040652763083522,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,11.141861783579396
122,123,41.0,1,0,4.7,43.0,2.0,1,19.2,0.0087434187434187,3.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,10.257343526911065
123,124,26.0,1,0,4.75,43.0,2.0,1,19.2,0.0082243170450173,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,10.165505603232392
124,125,47.0,1,0,4.0,43.0,6.0,1,16.0,0.0101822810127733,4.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,9.998797732340453
125,126,45.0,1,0,4.55,43.0,6.0,1,32.0,0.007280208005943,3.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,10.46310334047155
126,127,29.0,0,1,4.5,43.0,2.0,1,19.2,0.0110777752134779,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,9.472704636443671
127,128,35.0,1,0,4.35,43.0,2.0,1,16.0,0.0098868130369562,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,9.998797732340453
128,129,44.0,1,0,4.05,43.0,2.0,1,22.4,0.0056701620046287,3.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,10.46310334047155
129,130,41.0,0,0,4.4,32.0,2.0,1,16.0,0.0097498213009292,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.546169544733283
130,131,24.0,0,1,4.25,40.0,6.0,1,19.2,0.0111569473092068,4.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,9.680344001221918
131,132,26.0,1,0,4.2,43.0,4.0,1,19.2,0.0051334474099424,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,10.714417768752456
132,133,26.0,1,0,4.6,65.0,4.0,1,44.8,0.0031755022568368,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,11.635063448504866
133,134,26.0,1,0,4.75,48.0,5.0,1,44.8,0.0033240322437771,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,2.0,4.0,0.0,2.0,0.0,11.634178030396887
134,135,26.0,1,0,4.35,77.0,5.0,1,44.8,0.0015422524797397,4.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,12.345797413264954
135,136,45.0,1,0,4.35,55.0,2.0,0,25.5,0.006750717783094,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,10.462846164547514
